xcoord,ycoord
48.8647147618,-116.0375976563
48.7634311379,-116.279296875
48.6183851869,-116.7626953125
48.8502581997,-116.7407226563
48.4292005556,-115.8178710938
48.7054628958,-115.2465820313
48.7923901965,-114.6313476563
48.8936153615,-113.5107421875
48.5166043489,-113.37890625
48.4583518828,-114.0161132813
48.166085419,-114.873046875
48.1221010282,-115.4443359375
48.2100321223,-115.7299804688
47.9310663475,-115.9936523438
47.7097615427,-116.2353515625
47.6505875712,-115.5102539063
48.0487099429,-114.4775390625
48.1221010282,-113.3569335938
48.1367666797,-112.8955078125
47.6505875712,-112.8515625
47.3537106195,-112.6318359375
47.4280872617,-113.3129882813
47.502358952,-113.994140625
47.3834738721,-114.4775390625
47.5468715989,-114.9389648438
47.4578085308,-115.3784179688
47.0701218238,-115.1586914063
47.0252060016,-114.521484375
46.9652594003,-113.7524414063
47.1747783393,-113.4228515625
47.1149998262,-112.9174804688
46.8752133967,-112.5439453125
46.9052455464,-112.0825195313
46.5437496027,-112.3022460938
46.4832647292,-113.8403320313
46.5437496027,-114.4995117188
46.3772542051,-115.5322265625
46.2254528823,-114.8071289063
46.2254528823,-114.2578125
45.9205873447,-114.2138671875
45.8900081587,-114.5874023438
45.8287992519,-115.2026367188
45.9969616182,-115.6420898438
45.7368595474,-115.7080078125
45.583289756,-116.0595703125
45.3058025994,-116.0375976563
45.2439534226,-115.6860351563
45.213003556,-115.2905273438
45.0114186423,-114.9389648438
45.0424780509,-114.6752929688
45.1200528415,-114.1918945313
44.9025779963,-113.9721679688
44.6530241598,-114.3237304688
44.5748174047,-114.697265625
44.6530241598,-115.0927734375
44.7311255926,-115.6201171875
44.5591634153,-115.6640625
44.1191415164,-114.4555664063
43.6758180933,-114.9389648438
43.6599240748,-115.48828125
43.8345267822,-115.8837890625
44.1191415164,-112.939453125
44.449467536,-112.8295898438
44.6217540962,-111.8408203125
44.8714427502,-111.4453125
45.1045463098,-111.9287109375
45.4601306379,-111.533203125
45.3521452459,-110.6103515625
45.33670191,-110.0610351563
45.0890355648,-110.4125976563
44.7623366748,-110.5444335938
44.6998976584,-110.0610351563
44.4965053311,-109.6655273438
44.2609372504,-109.8413085938
43.4848121289,-110.4125976563
43.4210088299,-109.7534179688
43.3731121838,-110.7861328125
44.4023918291,-111.0278320313
44.3866915022,-109.6655273438
43.4369659652,-109.599609375
43.3411600541,-110.2587890625
43.0207135943,-110.56640625
43.1651226316,-110.9619140625
43.0528339176,-109.3359375
43.9295499356,-109.1381835938
46.9352608806,-110.6982421875
46.6192610362,-110.3466796875
