xcoord,ycoord
45.7445269805,-116.9055175781
45.5986656898,-117.2790527344
45.359865334,-117.0153808594
45.2826170575,-117.4108886719
45.0114186423,-117.158203125
44.723320189,-117.3779296875
44.4573098013,-117.59765625
44.1822039577,-117.6635742188
44.1427978282,-118.125
44.0046691064,-118.5150146484
43.8662180066,-118.9489746094
43.6440258477,-119.3444824219
43.4130286848,-119.3884277344
43.4130286848,-119.9487304688
43.4050474879,-120.4760742188
43.4289879234,-120.9704589844
43.221189733,-121.2451171875
43.1971672825,-121.7175292969
43.1811470594,-122.2229003906
43.1971672825,-122.7062988281
42.9805395475,-122.4865722656
42.8598598151,-122.080078125
42.69051117,-122.3876953125
42.4639928002,-122.5964355469
42.3828940096,-122.1899414063
42.3179394545,-121.6845703125
42.2366518803,-121.1352539063
42.0166518356,-121.2561035156
41.7549221677,-121.5087890625
41.4756602003,-121.728515625
41.1372960611,-121.8273925781
40.8802948055,-121.6186523438
40.7888599445,-121.0693359375
40.8636796655,-120.5419921875
41.1124687892,-120.2014160156
41.4427263777,-120.3991699219
41.8040781443,-120.2014160156
41.869560827,-120.7067871094
41.7549221677,-121.0693359375
41.9431487473,-121.6625976563
41.9594900989,-122.0471191406
42.0329743324,-122.5305175781
42.1878290106,-122.9150390625
