xcoord,ycoord
43.9295499356,-108.984375
44.4023918291,-106.34765625
43.1971672825,-107.0947265625
43.7710938178,-107.490234375
43.7710938178,-104.1064453125
43.2932003139,-103.0517578125
44.0875850282,-102.83203125
45.4292987326,-102.12890625
45.182036837,-103.2275390625
46.0732306254,-103.3154296875
45.5525252513,-104.677734375
45.4292987326,-104.0625
45.213003556,-105.2490234375
46.0122238406,-105.908203125
44.2766712738,-101.42578125
43.229195114,-102.216796875
42.3910086092,-102.1728515625
42.1959687763,-103.0078125
42.1634034242,-103.5791015625
42.1634034242,-104.8095703125
40.9135125761,-103.359375
41.0793511495,-102.216796875
40.7805414319,-100.72265625
41.4756602003,-99.5361328125
42.0329743324,-100.810546875
42.7470121732,-98.876953125
42.2935641922,-97.9541015625
43.1009828762,-100.5029296875
43.6440258477,-99.0966796875
44.4023918291,-96.943359375
44.4023918291,-98.8330078125
43.7710938178,-97.822265625
44.7779358963,-99.31640625
44.715513732,-100.634765625
45.4292987326,-101.6455078125
45.521743897,-99.9755859375
45.521743897,-97.6904296875
44.5904671813,-97.646484375
45.3675843688,-98.6572265625
46.3165841818,-98.5693359375
46.3772542051,-97.119140625
46.2558468185,-99.4482421875
46.2254528823,-100.634765625
46.103708756,-101.5576171875
46.5286346953,-102.568359375
47.6653873563,-102.6123046875
47.0102256557,-103.3154296875
47.159840013,-101.689453125
47.0401821448,-99.4921875
47.3388226948,-97.8662109375
47.0701218238,-97.294921875
48.3708477024,-97.8662109375
47.8721439689,-99.66796875
47.3090342477,-98.6572265625
48.6329085859,-100.6787109375
47.9016135414,-100.4150390625
48.2539411446,-101.689453125
48.3708477024,-103.0078125
48.4583518828,-104.501953125
48.1074311885,-104.94140625
47.5765257137,-104.6337890625
47.159840013,-105.6884765625
47.6653873563,-105.9521484375
47.4578085308,-106.7431640625
46.437856895,-107.2705078125
46.4983922586,-106.2158203125
46.4983922586,-104.677734375
45.8594121279,-105.3369140625
45.3984499763,-107.0068359375
45.9816951851,-108.017578125
45.7981695302,-106.69921875
45.0269504532,-106.1279296875
46.6494361634,-107.9296875
47.5172006978,-107.2705078125
46.9802523552,-107.2705078125
47.5468715989,-109.248046875
48.1953874083,-107.0947265625
48.2539411446,-108.2373046875
47.9016135414,-108.193359375
47.1299507567,-108.369140625
46.7398605997,-109.423828125
